,Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH)
,25%,mediana,75%,electores
area_0,,,,
Resto 1a Sección,6580,10370,15790,33200
Resto 2a Sección,6580,10830,16660,84400
Resto 3a Sección,6550,11010,16730,41800
Resto 4a Sección,6400,10800,16460,135800
Resto 5a Sección,6470,10980,16720,107100
Resto 6a Sección,6720,11520,17230,218600
Resto 7a Sección,6140,10960,16260,27100
almirante brown,6680,10690,15920,443100
avellaneda,7360,12000,17440,300200
azul,6620,11420,17400,56600
bahia blanca,6760,12220,18380,252100
balcarce,6080,10770,17210,39200
baradero,5770,10370,16740,28500
bartolome mitre,6500,10730,16570,24400
berazategui,6520,11200,16670,260500
berisso,6460,10860,16290,78000
bolivar,6590,11340,17520,30400
bragado,6300,11090,17350,36200
brandsen,6230,10560,16010,23100
campana,6690,11350,17180,78800
canuelas,6150,10380,16080,43600
chacabuco,6640,10840,16650,41700
chascomus,6400,11320,17370,37500
chivilcoy,6970,11490,17180,57700
colon,6520,10410,16660,20400
comuna 01,9560,15710,21920,175400
comuna 02,10900,15750,24700,143600
comuna 03,9700,15300,21640,160000
comuna 04,8130,13130,19380,178200
comuna 05,9710,15160,22430,159300
comuna 06,9600,15470,24000,161400
comuna 07,8850,14020,20780,174500
comuna 08,6790,11230,16570,139100
comuna 09,8480,13740,19840,147000
comuna 10,8910,14260,21190,149600
comuna 11,9050,14610,21600,173400
comuna 12,9270,14940,22380,188500
comuna 13,10630,17060,27260,218800
comuna 14,10380,16930,27360,210900
comuna 15,9290,14700,21690,166700
coronel suarez,6820,11550,16620,33000
dolores,6210,10750,16850,24000
ensenada,6240,10680,16530,53000
escobar,6820,10820,16370,178600
esteban echeverria,6510,10600,15960,235300
exaltacion de la cruz,6690,11060,17700,28100
ezeiza,6500,10360,15340,109600
florencio varela,5900,9640,14460,319600
general alvarado,6350,11260,17140,35100
general pueyrredon,7530,12880,19060,563000
general rodriguez,6210,10070,15350,75300
general san martin,7470,11970,17310,349900
general villegas,6200,10580,15970,24800
hurlingham,7600,12120,17660,153000
ituzaingo,7580,12350,18300,144600
jose c. paz,6460,10130,14850,219300
junin,7110,12030,17900,79000
la costa,7020,12120,17860,70200
la matanza,6600,10580,15650,1078900
la plata,7000,12270,19290,560300
lanus,7260,11520,16680,396900
las flores,6290,10550,17250,21100
lincoln,6450,10920,16740,36700
lobos,6620,11060,16400,31200
lomas de zamora,6750,10670,15850,522900
lujan,7450,12760,19510,88600
malvinas argentinas,6810,10550,15550,262500
mar chiquita,7020,11910,17780,23300
marcos paz,5800,9540,14920,43800
mercedes,6860,11760,17890,53900
merlo,6360,10180,15060,414100
moreno,6270,9970,14980,351000
moron,8010,12890,18510,279600
necochea,6470,11760,17470,83400
nueve de julio,6840,11470,17610,40600
olavarria,7110,11840,17620,94900
patagones,6780,11560,17310,27100
pehuajo,6800,11250,16510,34500
pergamino,7110,11440,17020,89400
pilar,6620,10460,15920,241100
pinamar,7030,11800,18000,27500
presidente peron,5940,9450,13700,65200
quilmes,6720,11200,16760,475600
ramallo,5330,10500,16270,27700
saladillo,6700,10980,16150,27400
salto,6500,10560,16150,28500
san fernando,7050,11840,17630,131500
san isidro,8090,13770,21500,285600
san miguel,6980,11340,17010,235300
san nicolas,6710,11790,17550,123700
san pedro,6300,10140,16000,48700
san vicente,5810,10660,16180,54900
tandil,6780,11960,18140,107400
tigre,6860,10950,16620,307600
trenque lauquen,6110,11630,18030,38300
tres arroyos,6490,11240,17330,51100
tres de febrero,7710,12820,18240,298000
veinticinco de mayo,6590,10790,16100,30800
vicente lopez,9170,14720,21900,245600
villa gesell,6580,11230,17260,29600
villarino,6040,9910,14830,26000
zarate,6250,10530,16500,95000
