dpto_merge,seccion
adolfo alsina,6
adolfo gonzales chaves,6
alberti,4
almirante brown,3
avellaneda,2
ayacucho,3
azul,5
bahia blanca,7
balcarce,6
baradero,5
bartolome mitre,2
benito juarez,6
berazategui,3
berisso,3
bolivar,7
bragado,4
brandsen,3
campana,1
canuelas,3
capitan sarmiento,2
carlos casares,4
carlos tejedor,4
carmen de areco,2
castelli,5
chacabuco,4
chascomus,5
chivilcoy,4
colon,2
coronel de marina l. rosales,6
coronel dorrego,6
coronel pringles,6
coronel suarez,6
daireaux,6
dolores,5
ensenada,3
escobar,1
esteban echeverria,3
exaltacion de la cruz,2
ezeiza,3
florencio varela,3
florentino ameghino,4
general alvarado,5
general alvear,7
general arenales,4
general belgrano,5
general guido,5
general juan madariaga,6
general la madrid,1
general las heras,5
general lavalle,5
general paz,5
general pinto,4
general pueyrredon,5
general rodriguez,1
general san martin,1
general viamonte,4
general villegas,4
guamini,6
hipolito yrigoyen,4
hurlingham,1
ituzaingo,1
jose c. paz,1
junin,4
la costa,5
la matanza,3
la plata,8
lanus,3
laprida,6
las flores,5
leandro n. alem,4
lincoln,5
loberia,4
lobos,3
lomas de zamora,3
lujan,1
magdalena,3
maipu,5
malvinas argentinas,1
mar chiquita,5
marcos paz,1
mercedes,1
merlo,1
monte,5
monte hermoso,6
moreno,1
moron,1
navarro,1
necochea,5
nueve de julio,4
olavarria,7
patagones,6
pehuajo,4
pellegrini,6
pergamino,2
pila,5
pilar,1
pinamar,5
presidente peron,3
puan,6
punta indio,3
quilmes,3
ramallo,2
rauch,5
rivadavia,4
rojas,2
roque perez,7
saavedra,6
saladillo,7
salliquelo,6
salto,2
san andres de giles,2
san antonio de areco,2
san cayetano,5
san fernando,1
san isidro,1
san miguel,1
san nicolas,2
san pedro,2
san vicente,3
suipacha,1
tandil,5
tapalque,7
tigre,1
tordillo,5
tornquist,6
trenque lauquen,4
tres arroyos,6
tres de febrero,1
tres lomas,6
veinticinco de mayo,7
vicente lopez,1
villa gesell,5
villarino,6
zarate,2
